CAS,Chemical name,Latin name,Trophic Level,Effect,Effect value,Unit,Test type,Test statistic,Duration,Duration (days),Effect is 5X above water solubility,Source,version,SMILES
57556,"1,2-Propylene glycol;Propane-1,2-diol",Pimephales promelas,FISH,Mortality,34100.0,mg/L,A,LC50,96 hours,4,0,"Cornell,J.S., D.A. Pillard, and M.T. Hernandez. Comparative Measures of the Toxicity of Component Chemicals in Aircraft Deicing Fluid",EnviroTox.v2,Error fetching data: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/57556/property/IsomericSMILES/JSON
57625,"Chlortetracycline;(4S,4aS,5aS,6S,12aS)-7-Chloro-4-(dimethylamino)-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-1,4,4a,5,5a,6,11,12a-octahydrotetracene-2-carboxamide",Oryzias latipes,FISH,Mortality,78.9,mg/L,A,LC50,96 hours,4,0,"Park,S., and K. Choi, . Hazard Assessment of Commonly Used Agricultural Antibiotics on Aquatic Ecosystems",EnviroTox.v2,Error fetching data: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/57625/property/IsomericSMILES/JSON
57636,"17alpha-Ethinylestradiol;(17alpha)-19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol",Daphnia magna,INVERT,Mortality,2.59,mg/L,A,LC50,96 hours,4,0,"Clubbs,R.L., and B.W. Brooks, . Daphnia magna Responses to a Vertebrate Estrogen Receptor Agonist and an Antagonist:  A Multigenerational Study",EnviroTox.v2,Error fetching data: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/57636/property/IsomericSMILES/JSON
57749,"Chlordane;1,2,4,5,6,7,8,8-Octachloro-2,3,3a,4,7,7a-hexahydro-1H-4,7-methanoindene",Lepomis macrochirus,FISH,Mortality,0.04,mg/L,A,LC50,96 hours,4,0,"Cope, O. B. (1965). Sport fishery investigations. US. Fish Wildlife Serv. Circular, (226), 51-63.",EnviroTox.v2,Error fetching data: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/57749/property/IsomericSMILES/JSON
58082,"Caffeine;1,3,7-Trimethyl-3,7-dihydro-1H-purine-2,6-dione",Pimephales promelas,FISH,Mortality,151.0,mg/L,A,LC50,96 hours,4,0,"Geiger, D.L., D.J. Call, and L.T. Brooke, 1988. Acute Toxicities of Organic Chemicals to Fathead Minnows (Pimephales promelas) Volume IV, Ctr.for Lake Superior Environ.Stud., Volume 4, Univ.of Wisconsin-Superior, Superior, WI :355",EnviroTox.v2,Error fetching data: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/58082/property/IsomericSMILES/JSON
58275,"Menadione;2-Methylnaphthalene-1,4-dione",Pimephales promelas,FISH,Mortality,0.11,mg/L,A,LC50,96 hours,4,0,"Broderius,S.J., M.D. Kahl, and M.D. Hoglund. Use of Joint Toxic Response to Define the Primary Mode of Toxic Action for Diverse Industrial Organic Chemicals",EnviroTox.v2,Error fetching data: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/58275/property/IsomericSMILES/JSON
58366,"10,10'-Oxybisphenoxarsine;10,10'-Oxydi(10H-phenoxarsinine)",Oncorhynchus mykiss,FISH,Mortality,0.0035,mg/L,A,LC50,96 hours,4,0,"U.S. Environmental Protection Agency, and Office of Pesticide Programs. Pesticide Ecotoxicity Database (Formerly:  Environmental Effects Database (EEDB))",EnviroTox.v2,Error fetching data: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/58366/property/IsomericSMILES/JSON
58899,"Lindane;(1R,2S,3r,4R,5S,6r)-1,2,3,4,5,6-Hexachlorocyclohexane",Channa punctata,FISH,Mortality,0.44,mg/L,A,LC50,96 hours,4,0,"Bakthavathsalam, R., 1988. Toxicity of Lindane to Some Air-Breathing Fishes, Environ.Ecol. 6(1):222-224",EnviroTox.v2,Error fetching data: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/58899/property/IsomericSMILES/JSON
58902,"2,3,4,6-Tetrachlorophenol;2,3,4,6-Tetrachlorophenol",Pimephales promelas,FISH,Mortality,1.03,mg/L,A,LC50,96 hours,4,0,"Broderius,S.J., M.D. Kahl, and M.D. Hoglund. Use of Joint Toxic Response to Define the Primary Mode of Toxic Action for Diverse Industrial Organic Chemicals",EnviroTox.v2,Error fetching data: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/58902/property/IsomericSMILES/JSON
59507,4-Chloro-3-methylphenol;4-Chloro-3-methylphenol,Pimephales promelas,FISH,Mortality,1.0,mg/L,A,LC50,96 hours,4,0,"Barnhart,E.L., and G.R. Campbell, . The Effect of Chlorination on Selected Organic Chemicals",EnviroTox.v2,Error fetching data: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/59507/property/IsomericSMILES/JSON
