SMILES_curated,CAS,logC50,n_measurements
CC(=O)Nc1cc(NS(=O)(=O)C(F)(F)F)c(C)cc1C,53780-34-0,3.2095150145426308,1
CC(=O)Nc1ccc(O)cc1,103-90-2,2.910624404889201,1
CC(=O)Nc1cccc(O)c1,621-42-1,3.05307844348342,1
CC(=O)Nc1ccccc1,103-84-4,2.0,1
CC(=O)Nc1ccccc1O,614-80-2,2.0253058652647704,1
CC(=O)O,64-19-7,1.43753063169585,4
CC(=O)OC1CC(C)OC(C)O1,828-00-2,1.6434526764861874,1
CC(=O)OCC(C)C,110-19-0,2.093421685162235,1
CC(=O)OCCOC(C)=O,111-55-7,1.9542425094393248,1
CC(=O)OCc1ccccc1,140-11-4,0.6020599913279624,1
CC(=O)Oc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1C(C)(C)C,3204-27-1,-1.408935392973501,1
CC(=O)c1cc2ccccc2s1,22720-75-8,1.0,1
CC(=O)c1ccc(Cl)c(Cl)c1Cl,13608-87-2,0.3010299956639812,1
CC(=O)c1ccc(Cl)c([N+](=O)[O-])c1,5465-65-6,0.741151598851785,1
CC(=O)c1ccc(Cl)cc1Cl,2234-16-4,1.0681858617461617,1
CC(=O)c1cccc(N)c1,99-03-6,2.582063362911709,1
CC(=O)c1ccccc1,98-86-2,2.2095150145426308,1
CC(=O)c1ccccc1O,118-93-4,2.060697840353612,1
CC(=O)c1cccn1C,932-16-1,2.1958996524092336,1
CC(=O)c1ccncc1,1122-54-9,2.225309281725863,1
CC(C(NCCN)c1ccccc1)[N+](=O)[O-],14762-38-0,0.2787536009528289,1
CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1,23210-56-2,0.9400181550076632,1
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,43121-43-3,1.041392685158225,1
CC(C)(C)C(=O)C1C(=O)c2ccccc2C1=O,83-26-1,-0.6777807052660807,1
CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,107534-96-3,1.428134794028789,1
CC(C)(C)C(O)C(Oc1ccc(-c2ccccc2)cc1)n1cncn1,55179-31-2,0.3222192947339193,1
CC(C)(C)C(O)C(Oc1ccc(Cl)cc1)n1cncn1,55219-65-3,1.146128035678238,1
CC(C)(C)C=Cc1ccccc1,25338-51-6,-0.3053948010664313,1
CC(C)(C)CC(C)(C)c1ccc(O)cc1,140-66-9,-0.431798275933005,1
CC(C)(C)CC(C)(C)c1ccc(OCCO)cc1,9002-93-1,0.7781512503836436,1
CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,121-54-0,0.146128035678238,1
CC(C)(C)CCCCCC(=O)O,28801-69-6,1.2180813235203782,2
CC(C)(C)N,75-64-9,2.4313637641589874,1
CC(C)(C)NSc1nc2ccccc2s1,95-31-8,0.146128035678238,1
CC(C)(C)SSC(C)(C)C,110-06-5,0.1367205671564068,1
